Date,Climate_ID,District,Temperature_C,Humidity_%,Rainfall_mm,Wind_Speed_kmh,Heat_Index
2021-01-01,1.0,Galle,26.9,77.9,2.4,13.5,
2021-01-02,2.0,Anuradhapura,29.7,76.3,6.4,21.8,35.8
2021-01-03,3.0,Trincomalee,26.1,73.0,,13.2,
2021-01-04,4.0,Kilinochchi,29.7,74.7,1.3,26.0,35.4
2021-01-05,5.0,Matara,28.1,86.4,3.1,5.0,
2021-01-06,6.0,Polonnaruwa,26.2,73.0,0.0,7.3,
2021-01-07,7.0,Galle,27.9,,0.0,,32.2
2021-01-08,8.0,Puttalam,28.5,75.1,0.0,22.9,32.5
2021-01-09,9.0,Moneragala,27.9,70.6,0.1,10.7,30.6
2021-01-10,10.0,Kilinochchi,24.6,70.6,2.2,15.3,
2021-01-11,11.0,Kilinochchi,25.9,77.7,0.0,18.6,
2021-01-12,12.0,,26.6,80.4,5.1,13.9,
2021-01-13,13.0,Polonnaruwa,26.9,77.7,3.5,15.7,
2021-01-14,14.0,,18.9,76.8,,15.1,
2021-01-15,15.0,Matara,,78.1,0.0,7.6,30.2
2021-01-16,16.0,Ratnapura,25.0,82.3,0.0,13.3,
2021-01-17,17.0,Kalutara,27.6,89.8,11.5,15.1,32.5
2021-01-18,18.0,Badulla,18.9,71.1,4.7,15.5,
2021-01-19,19.0,Polonnaruwa,,73.1,2.4,6.3,30.7
2021-01-20,20.0,Gampaha,28.6,86.8,0.0,18.8,
2021-01-21,21.0,Ratnapura,28.3,88.1,0.0,15.6,34.3
2021-01-22,22.0,Mullaitivu,27.7,74.0,2.8,9.7,30.6
2021-01-23,,Nuwara Eliya,17.9,72.6,1.3,24.0,
2021-01-24,24.0,Gampaha,24.5,90.7,0.9,,
2021-01-25,25.0,Polonnaruwa,27.6,81.9,0.9,,31.4
2021-01-26,26.0,,27.3,88.9,,,31.5
2021-01-27,27.0,Mullaitivu,27.4,75.3,4.1,24.4,30.1
2021-01-28,28.0,Badulla,16.1,71.8,13.7,18.4,
2021-01-29,29.0,Mullaitivu,25.4,71.7,0.0,19.1,
,30.0,Kegalle,28.6,87.1,7.7,10.0,35.1
2021-01-31,31.0,Ampara,26.9,76.7,0.0,15.4,
2021-02-01,32.0,Jaffna,27.0,80.1,,12.3,29.7
2021-02-02,33.0,Batticaloa,26.0,77.1,0.0,18.5,
2021-02-03,34.0,Trincomalee,26.0,68.5,0.0,19.0,
2021-02-04,35.0,Trincomalee,27.4,78.7,0.0,23.2,30.5
2021-02-05,36.0,,25.2,70.5,17.7,5.0,
2021-02-06,37.0,Mullaitivu,26.1,73.0,5.9,11.8,
2021-02-07,38.0,Moneragala,25.3,75.5,3.5,21.5,
2021-02-08,39.0,,25.3,82.5,0.0,8.0,
2021-02-09,40.0,,25.5,96.9,0.0,,
2021-02-10,41.0,Kalutara,26.3,86.9,,20.7,
2021-02-11,42.0,Matale,16.3,73.8,0.0,14.9,
2021-02-12,43.0,Puttalam,27.9,76.6,0.0,7.9,31.4
2021-02-13,44.0,Galle,24.7,88.0,3.3,14.4,
2021-02-14,45.0,,25.7,73.2,7.8,22.3,
2021-02-15,46.0,Hambantota,25.3,81.7,4.6,22.7,
2021-02-16,47.0,Galle,28.2,85.4,,16.0,33.5
2021-02-17,48.0,Kurunegala,26.3,76.5,0.0,10.1,
2021-02-18,49.0,Kandy,18.5,77.2,19.2,23.7,
2021-02-19,50.0,Kegalle,23.8,86.2,0.0,19.1,
2021-02-20,51.0,Mannar,26.4,77.9,1.6,10.4,
2021-02-21,52.0,Kurunegala,27.3,72.0,,16.7,29.6
2021-02-22,53.0,Hambantota,26.1,72.3,1.1,16.5,
2021-02-23,54.0,Polonnaruwa,27.6,70.1,0.0,11.8,29.9
2021-02-24,55.0,Gampaha,25.2,86.3,7.0,16.7,
2021-02-25,56.0,Anuradhapura,28.1,77.6,1.9,20.5,32.0
2021-02-26,57.0,,29.4,76.3,9.3,13.5,35.0
2021-02-27,58.0,,25.5,91.2,24.1,21.0,
2021-02-28,59.0,Mullaitivu,25.3,74.5,0.4,6.2,
2021-03-01,60.0,Matara,27.4,85.5,8.1,26.1,31.3
2021-03-02,61.0,Trincomalee,27.6,68.4,2.0,15.3,
2021-03-03,62.0,Kalutara,24.5,81.3,1.1,,
2021-03-04,63.0,Mannar,24.6,75.6,5.0,16.1,
2021-03-05,64.0,Ampara,24.8,,8.7,10.9,
2021-03-06,65.0,Kandy,14.3,71.6,1.0,14.8,
2021-03-07,66.0,Kurunegala,23.9,72.5,5.8,5.5,
2021-03-08,67.0,Matara,23.8,76.7,2.7,18.4,
2021-03-09,68.0,Kandy,15.1,71.4,6.0,16.0,
2021-03-10,69.0,Gampaha,25.2,86.4,12.5,14.0,
2021-03-11,70.0,,16.6,75.1,0.0,,
2021-03-12,71.0,Badulla,18.6,74.8,4.7,15.2,
2021-03-13,72.0,Jaffna,23.8,73.0,5.2,18.0,
2021-03-14,73.0,Kandy,17.7,72.8,20.5,19.8,
2021-03-15,74.0,Badulla,15.9,70.2,12.7,12.3,
2021-03-16,75.0,Kurunegala,25.2,75.6,0.0,10.8,
2021-03-17,,Mullaitivu,26.3,74.5,2.1,6.4,
2021-03-18,77.0,Gampaha,23.6,84.8,23.5,15.6,
2021-03-19,78.0,Jaffna,25.8,70.7,1.7,17.3,
2021-03-20,79.0,Kandy,16.5,64.2,0.0,8.4,
2021-03-21,80.0,Mannar,26.0,77.2,1.1,22.1,
2021-03-22,81.0,Batticaloa,25.7,70.9,15.8,10.9,
2021-03-23,82.0,Trincomalee,29.0,69.3,0.0,5.0,32.6
2021-03-24,83.0,Matara,24.3,85.6,0.0,22.5,
2021-03-25,84.0,Mannar,24.5,71.2,0.0,5.1,
2021-03-26,85.0,Moneragala,24.3,77.0,9.1,19.8,
2021-03-27,86.0,Kegalle,24.4,85.3,0.0,18.6,
2021-03-28,87.0,Matara,24.3,85.5,0.0,16.6,
2021-03-29,88.0,Polonnaruwa,27.1,67.3,1.7,12.4,28.8
2021-03-30,89.0,Batticaloa,27.4,77.6,0.0,17.5,30.4
2021-03-31,90.0,Vavuniya,24.4,73.8,0.0,20.2,
2021-04-01,,Kurunegala,23.8,68.9,12.3,10.1,
2021-04-02,92.0,Trincomalee,25.7,70.9,22.3,19.9,
2021-04-03,93.0,Polonnaruwa,24.2,63.2,2.5,19.7,
2021-04-04,94.0,Ratnapura,25.9,82.0,9.8,16.5,
2021-04-05,95.0,Kegalle,25.3,76.2,5.0,12.3,
2021-04-06,96.0,Vavuniya,22.7,64.9,3.1,19.7,
2021-04-07,97.0,Hambantota,27.3,64.3,0.0,17.5,28.8
2021-04-08,98.0,Trincomalee,27.7,74.8,0.0,9.9,30.7
2021-04-09,99.0,Vavuniya,24.1,,11.1,13.2,
2021-04-10,100.0,Colombo,24.4,86.5,0.0,19.1,
2021-04-11,101.0,Kegalle,25.4,78.2,10.9,15.6,
2021-04-12,102.0,Galle,25.5,73.5,2.9,20.4,
2021-04-13,103.0,Hambantota,26.0,65.9,0.0,13.3,
2021-04-14,104.0,Ratnapura,28.0,85.3,0.0,10.0,32.9
2021-04-15,105.0,Colombo,24.7,79.7,0.0,26.0,
2021-04-16,106.0,,23.8,68.2,2.8,6.6,
2021-04-17,107.0,Matara,22.9,81.0,7.3,12.5,
2021-04-18,,Ratnapura,23.9,82.4,13.3,16.4,
2021-04-19,109.0,Kilinochchi,25.0,74.8,0.0,19.9,
2021-04-20,110.0,Puttalam,27.7,76.1,9.6,18.2,30.8
2021-04-21,111.0,Ampara,24.2,68.9,29.9,26.6,
2021-04-22,112.0,Matara,25.3,75.0,,14.4,
2021-04-23,113.0,Kalutara,25.0,78.7,9.5,10.6,
2021-04-24,114.0,Kalutara,26.8,81.4,,,
2021-04-25,115.0,Colombo,28.8,76.5,0.0,13.4,33.5
2021-04-26,116.0,Matale,15.2,66.5,21.2,14.7,
2021-04-27,117.0,Jaffna,24.3,71.7,0.0,10.1,
2021-04-28,118.0,Galle,26.6,80.2,,18.9,
